"Speaker","Word","Iter","Vowel","Phonation","Tone","Duration","h1c","h2c","h4c","a1c","a2c","a3c","h1h2c","h2h4c","h1a1c","h1a2c","h1a3c","h42Kc","h2Kh5Kc","cpp","energy","hnr05","hnr15","hnr25","hnr35","shr","soe","f0","f1","f2"
"f3","xkal",1,"a","modal","L",124,2.73,-3.193,-3.9485,-16.5975,-17.8255,-11.2505,5.9225,0.756,19.327,20.5555,13.9805,6.425,15.7715,23.2155,-0.709965388637482,36.275,38.6045,39.9005,40.435,0.2965,0.0715,205.446,486.6745,1648.016
"f3","xkal",2,"a","modal","L",107,2.491,-5.4455,-4.5605,-22.064,-17.684,-9.341,7.9365,-0.8845,24.555,20.1755,11.8325,5.7665,23.7365,23.4935,-0.835647144215563,44.1335,44.51,44.439,43.895,0.0825,0.083,209.26,488.107,1662.2725
"f3","xkal",3,"a","modal","L",124,1.691,-9.969,0.2165,-12.244,-12.784,-9.9995,11.66,-10.1855,13.935,14.475,11.6905,9.1825,26.669,22.9285,-0.84163750790475,43.617,46.083,46.9795,47.0645,0.3915,0.0795,206.5855,381.8355,1693.7285
"f3","xmanh",1,"a","modal","F",95,0.0455,-0.185,7.173,-22.5815,-11.9555,-7.536,0.231,-7.358,22.6275,12.001,7.5815,8.851,31.539,23.5515,-0.815308569182401,51.7195,51.864,52.242,50.808,0.6135,0.106,244.4965,354.7555,1533.074
"f3","xmanh",2,"a","modal","F",86,-1.5705,-8.926,-3.0835,-14.0065,-10.124,-7.4575,7.3565,-5.8425,12.437,8.5545,5.8875,1.544,30.799,23.8425,-0.868060704789575,49.59,50.28,52.16,52.8615,0.79,0.0665,234.145,430.7735,1425.1055
"f3","xmanh",3,"a","modal","F",60,-9.8005,-16.4505,-8.09,-17.216,-12.6285,-6.5755,6.65,-8.36,7.4155,2.828,-3.225,-2.538,32.1775,24.44,-1.16749108729376,57.2475,55.5835,56.3235,56.1315,0.6385,0.037,236.3455,467.9465,1384.1925
"f3","ya7a",1,"a","laryngealized","L",168,-1.5085,-9.111,-13.7065,-24.6975,-22.52,-21.3695,7.602,4.596,23.1885,21.011,19.861,-0.174,17.7175,22.2015,-1.23657200643706,35.965,38.93,39.978,41.9095,0,0.064,207.0245,739.079,1685.965
"f3","ya7a",2,"a","laryngealized","L",128,-5.0855,-11.394,-15.339,-28.469,-27.1235,-21.472,6.308,3.9455,23.3835,22.0375,16.386,0.1865,19.1635,19.2785,-1.75696195131371,32.613,35.6875,38.3415,40.5695,0.0015,0.055,185.3435,531.2435,1655.184
"f3","ya7a",3,"a","laryngealized","L",110,-7.3395,-11.606,-13.891,-26.1275,-26.9205,-22.381,4.267,2.2845,18.788,19.581,15.0415,7.2015,15.2795,18.245,-1.78251605578609,25.484,30.636,33.8945,36.913,0.254,0.0375,186.4325,555.2455,1779.8705
"f3","yag",1,"a","modal","L",153,0.3695,-3.107,2.5655,-14.4915,-14.095,-12.3405,3.4765,-5.672,14.861,14.4645,12.71,15.361,19.0135,16.518,-1.03385826726097,33.4825,37.7975,39.322,40.689,0,0.0925,198.9235,263.388,1783.467
